time,battery_voltage,fl,fr,bl,br,x_position,y_position,angle,x_velocity,y_velocity,angular_velocity
0.002760,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.103340,12.734000,0.000000,-0.000000,0.000000,0.000000,0.000450,0.000408,0.000051,0.003555,0.003224,0.001091
0.204535,12.738000,0.000000,-0.000000,0.000000,0.000000,0.000787,0.000714,0.000021,0.003555,0.003224,0.001091
0.308545,12.738000,0.000000,-0.000000,0.000000,0.000000,0.001148,0.001041,0.000058,0.003555,0.003224,0.001091
0.442566,12.742000,0.000000,-0.000000,0.000000,0.000000,0.001637,0.001485,0.000024,0.003555,0.003224,0.001091
0.545789,12.738000,0.000000,-0.000000,0.000000,0.000000,0.002019,0.001832,0.000061,0.003555,0.003224,0.001091
0.647346,12.712000,0.000000,-0.000000,0.000000,0.000000,0.002458,0.002229,0.000052,0.003555,0.003224,0.001091
0.748433,12.716000,0.000000,-0.000000,0.000000,0.000000,0.002703,0.002452,0.000061,0.003555,0.003224,0.001091
0.855166,12.721000,0.000000,-0.000000,0.000000,0.000000,0.003179,0.002884,0.000053,0.003555,0.003224,0.001091
0.956860,12.721000,0.000000,-0.000000,0.000000,0.000000,0.003526,0.003199,0.000019,0.003555,0.003224,0.001091
1.057924,12.738000,0.000000,-0.000000,0.000000,0.000000,0.003879,0.003519,0.000053,0.003555,0.003224,0.001091
1.158762,12.738000,0.000000,-0.000000,0.000000,0.000000,0.004213,0.003822,0.000021,0.003555,0.003224,0.001091
1.260069,12.734000,0.000000,-0.000000,0.000000,0.000000,0.004560,0.004137,0.000060,0.003555,0.003224,0.001091
1.368475,12.738000,0.000000,-0.000000,0.000000,0.000000,0.005013,0.004548,0.000053,0.003555,0.003224,0.001091
1.469606,12.738000,0.000000,-0.000000,0.000000,0.000000,0.005338,0.004842,0.000016,0.003555,0.003224,0.001091
1.570419,12.725000,0.000000,-0.000000,0.000000,0.000000,0.005689,0.005161,0.000050,0.003555,0.003224,0.001091
1.671475,12.712000,0.000000,-0.000000,0.000000,0.000000,0.006040,0.005479,0.000022,0.003555,0.003224,0.001091
1.772409,12.703000,0.000000,-0.000000,0.000000,0.000000,0.006267,0.005685,0.000019,0.003555,0.003224,0.001091
1.873960,12.716000,0.000000,-0.000000,0.000000,0.000000,0.006743,0.006117,0.000019,0.003555,0.003224,0.001091
1.975118,12.721000,0.000000,-0.000000,0.000000,0.000000,0.007087,0.006429,0.000057,0.003555,0.003224,0.001091
2.076045,12.716000,0.000000,-0.000000,0.000000,0.000000,0.007477,0.006783,0.000063,0.003555,0.003224,0.001091
2.183820,12.738000,0.000000,-0.000000,0.000000,0.000000,0.007927,0.007191,0.000058,0.003555,0.003224,0.001091
2.288242,12.738000,0.000000,-0.000000,0.000000,0.000000,0.008283,0.007514,0.000020,0.003555,0.003224,0.001091
2.391222,12.738000,0.000000,-0.000000,0.000000,0.000000,0.008639,0.007836,0.000052,0.003555,0.003224,0.001091
2.492426,12.738000,0.000000,-0.000000,0.000000,0.000000,0.008991,0.008156,0.000023,0.003555,0.003224,0.001091
2.594702,12.738000,0.000000,-0.000000,0.000000,0.000000,0.009327,0.008461,0.000056,0.003555,0.003224,0.001091
2.696011,12.716000,0.000000,-0.000000,0.000000,0.000000,0.009683,0.008784,0.000021,0.003555,0.003224,0.001091
2.797104,12.712000,0.000000,-0.000000,0.000000,0.000000,0.010074,0.009138,0.000028,0.003555,0.003224,0.001091
2.898049,12.712000,0.000000,-0.000000,0.000000,0.000000,0.010422,0.009455,0.000059,0.003555,0.003224,0.001091
2.998935,12.716000,0.000000,-0.000000,0.000000,0.000000,0.010767,0.009767,0.000023,0.003555,0.003224,0.001091
3.099571,12.716000,0.000000,-0.000000,0.000000,0.000000,0.011106,0.010074,0.000053,0.003555,0.003224,0.001091
3.203575,12.742000,0.000000,-0.000000,0.000000,0.000000,0.011538,0.010466,0.000052,0.003555,0.003224,0.001091
3.308411,12.738000,0.000000,-0.000000,0.000000,0.000000,0.011902,0.010797,0.000025,0.003555,0.003224,0.001091
3.418455,12.738000,0.000000,-0.000000,0.000000,0.000000,0.012308,0.011165,0.000003,0.003555,0.003224,0.001091
3.519338,12.738000,0.000000,-0.000000,0.000000,0.000000,0.012637,0.011464,0.000021,0.003555,0.003224,0.001091
3.620339,12.742000,0.000000,-0.000000,0.000000,0.000000,0.012962,0.011758,0.000052,0.003555,0.003224,0.001091
3.721241,12.716000,0.000000,-0.000000,0.000000,0.000000,0.013319,0.012083,0.000023,0.003555,0.003224,0.001091
3.822303,12.716000,0.000000,-0.000000,0.000000,0.000000,0.013684,0.012413,0.000020,0.003555,0.003224,0.001091
3.930901,12.712000,0.000000,-0.000000,0.000000,0.000000,0.014006,0.012705,0.000050,0.003555,0.003224,0.001091
4.036526,12.712000,0.000000,-0.000000,0.000000,0.000000,0.014465,0.013122,0.000053,0.003555,0.003224,0.001091
4.137754,12.716000,0.000000,-0.000000,0.000000,0.000000,0.014791,0.013418,0.000019,0.003555,0.003224,0.001091
4.239859,12.738000,0.000000,-0.000000,0.000000,0.000000,0.015238,0.013823,0.000021,0.003555,0.003224,0.001091
4.342400,12.738000,0.000000,-0.000000,0.000000,0.000000,0.015602,0.014153,0.000056,0.003555,0.003224,0.001091
4.443513,12.734000,0.000000,-0.000000,0.000000,0.000000,0.015844,0.014373,0.000059,0.003555,0.003224,0.001091
4.547554,12.738000,0.000000,-0.000000,0.000000,0.000000,0.016317,0.014802,0.000059,0.003555,0.003224,0.001091
4.648467,12.738000,0.000000,-0.000000,0.000000,0.000000,0.016650,0.015104,0.000021,0.003555,0.003224,0.001091
4.760396,12.721000,0.000000,-0.000000,0.000000,0.000000,0.017004,0.015425,0.000057,0.003555,0.003224,0.001091
4.861666,12.712000,0.000000,-0.000000,0.000000,0.000000,0.017424,0.015806,0.000062,0.003555,0.003224,0.001091
4.962409,12.716000,0.000000,-0.000000,0.000000,0.000000,0.017782,0.016131,0.000023,0.003555,0.003224,0.001091
5.063299,12.721000,0.000000,-0.000000,0.000000,0.000000,0.018141,0.016457,0.000095,0.003555,0.003224,0.001091
5.164174,12.721000,0.000000,-0.000000,0.000000,0.000000,0.018466,0.016751,0.000016,0.003555,0.003224,0.001091
5.265233,12.734000,0.001685,-0.001685,-0.001685,0.001685,0.018801,0.017055,0.000055,0.003555,0.003224,0.001091
5.382199,12.152000,0.560820,0.060240,0.060240,0.560820,0.019158,0.017379,0.000060,0.003555,0.003224,0.001091
