time,battery_voltage,fl,fr,bl,br,x_position,y_position,angle,x_velocity,y_velocity,angular_velocity
0.005168,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.106079,12.777000,0.000000,0.000000,0.000000,0.000000,12.126990,35.461906,-0.000171,0.000000,0.000000,0.000000
0.206863,12.769000,0.000000,0.000000,0.000000,0.000000,12.126824,35.462074,-0.000389,-0.013688,0.013875,-0.004363
0.330116,10.103000,-0.999978,0.999941,0.999804,-0.999971,12.125970,35.462857,-0.000177,-0.035983,0.006938,-0.002182
0.430911,10.011000,-0.999917,0.999406,0.550052,-0.999900,12.110150,36.150074,0.029929,-0.489555,9.231715,0.331613
0.533291,10.540000,-0.556981,0.225090,0.338777,-0.670142,11.948246,38.694149,0.060966,-0.586251,24.132403,0.305433
0.636305,12.183000,-0.556981,0.225090,0.338777,-0.670142,11.721997,40.931912,0.099272,-2.853667,27.161555,0.548688
0.740762,12.152000,-0.258278,0.592366,0.592690,-0.258604,10.865989,44.086010,0.096177,-2.153253,24.827535,-0.087266
0.841507,11.930000,-0.580048,0.496807,0.528978,-0.612161,10.607492,45.860680,0.095175,2.236122,22.168912,-0.016362
0.942273,11.855000,-0.580048,0.496807,0.528978,-0.612161,10.470160,49.483424,0.095077,0.420089,23.999843,-0.023998
1.056403,11.938000,-0.580048,0.496807,0.528978,-0.612161,10.104802,53.376271,0.082721,-0.651580,24.346731,-0.110174
1.157146,10.072000,-0.999992,0.999995,0.999997,-0.999996,9.730592,56.464781,0.080393,-1.440535,25.088411,-0.027271
1.258039,10.501000,-0.999967,0.999988,0.999992,-0.999986,9.400685,59.500922,0.083682,-0.395359,31.718351,0.045815
1.359356,10.710000,-0.526306,0.999952,0.999964,-0.999852,9.011609,64.128991,0.098499,0.438008,37.830720,0.139626
1.460259,11.309000,0.929303,0.311108,0.612942,0.580266,8.686559,68.748008,0.104394,2.797074,39.846191,0.055632
1.566406,11.436000,0.929303,0.311108,0.612942,0.580266,8.678305,73.341532,0.038042,4.734292,37.289480,-0.446150
1.671511,12.336000,0.085037,-0.205096,-0.259751,0.141510,9.525067,76.263015,-0.055984,8.485780,17.065909,-0.931570
1.772699,12.371000,0.085037,-0.205096,-0.259751,0.141510,10.382213,76.775896,-0.069764,0.529385,0.318399,-0.402517
1.873549,9.552000,-0.615214,0.999993,0.999992,0.999913,10.180824,76.569102,-0.048227,-1.415102,-3.021466,0.171260
