time,battery_voltage,fl,fr,bl,br,x_position,y_position,angle,x_velocity,y_velocity,angular_velocity
0.076643,12.694000,0.000000,-0.000000,0.000000,0.000000,0.000664,0.000528,-0.000109,0.008133,0.006471,-0.002182
0.102647,12.686000,0.000000,-0.000000,0.000000,0.000000,0.000664,0.000528,-0.000109,0.008133,0.006471,-0.002182
0.128357,12.686000,0.000000,-0.000000,0.000000,0.000000,0.000473,0.000376,-0.000057,-0.004067,-0.003235,0.001091
0.154203,12.694000,0.000000,-0.000000,0.000000,0.000000,0.000342,0.000272,0.000105,-0.004067,-0.003235,0.001091
0.179990,12.694000,0.000000,-0.000000,0.000000,0.000000,0.000342,0.000272,0.000105,-0.004067,-0.003235,0.001091
0.207134,12.690000,0.000000,-0.000000,0.000000,0.000000,0.000342,0.000272,0.000105,-0.000000,0.000000,0.000000
0.233661,12.690000,0.000000,-0.000000,0.000000,0.000000,0.000342,0.000272,0.000105,-0.000000,0.000000,0.000000
0.259477,12.686000,0.000000,-0.000000,0.000000,0.000000,0.000342,0.000272,0.000069,-0.000000,0.000000,0.000000
0.285197,12.686000,0.000000,-0.000000,0.000000,0.000000,0.000211,0.000168,0.000105,-0.004067,-0.003235,0.001091
0.311243,12.694000,0.000000,-0.000000,0.000000,0.000000,0.000211,0.000168,0.000105,-0.004067,-0.003235,0.001091
0.337126,12.694000,0.000000,-0.000000,0.000000,0.000000,0.000060,0.000048,0.000145,-0.004067,-0.003235,0.001091
0.362966,12.699000,0.000000,-0.000000,0.000000,0.000000,0.000060,0.000048,0.000069,-0.000000,0.000000,0.000000
0.388675,12.699000,0.000000,-0.000000,0.000000,0.000000,0.000060,0.000048,0.000069,-0.000000,0.000000,0.000000
0.414464,12.690000,0.000000,-0.000000,0.000000,0.000000,0.000060,0.000048,0.000069,-0.000000,0.000000,0.000000
0.440276,12.690000,0.000000,-0.000000,0.000000,0.000000,0.000060,0.000048,0.000069,-0.000000,0.000000,0.000000
0.466099,12.690000,0.000000,-0.000000,0.000000,0.000000,0.000232,0.000184,0.000023,0.004067,0.003235,-0.001091
0.491927,12.686000,0.000000,-0.000000,0.000000,0.000000,0.000361,0.000287,-0.000011,0.004067,0.003235,-0.001091
0.517721,12.690000,0.000000,-0.000000,0.000000,0.000000,0.000361,0.000287,-0.000011,0.004067,0.003235,-0.001091
0.543526,12.690000,0.000000,-0.000000,0.000000,0.000000,-0.000305,-0.000243,0.000248,-0.012200,-0.009706,0.003272
0.569783,12.690000,0.000000,-0.000000,0.000000,0.000000,-0.000305,-0.000243,0.000248,-0.012200,-0.009706,0.003272
0.595651,12.681000,0.000000,-0.000000,0.000000,0.000000,-0.000305,-0.000243,0.000248,-0.012200,-0.009706,0.003272
0.621462,12.681000,0.000000,-0.000000,0.000000,0.000000,-0.000305,-0.000243,0.000248,-0.012200,-0.009706,0.003272
0.647290,12.686000,0.000000,-0.000000,0.000000,0.000000,-0.000305,-0.000243,0.000248,-0.012200,-0.009706,0.003272
0.673091,12.686000,0.000000,-0.000000,0.000000,0.000000,0.000251,0.000199,-0.000080,0.004067,0.003235,-0.001091
0.698866,12.686000,0.000000,-0.000000,0.000000,0.000000,0.000633,0.000504,-0.000182,0.016266,0.012942,-0.004363
0.725111,12.694000,0.000000,-0.000000,0.000000,0.000000,0.000633,0.000504,-0.000182,0.016266,0.012942,-0.004363
0.750959,12.694000,0.000000,-0.000000,0.000000,0.000000,0.001213,0.000965,-0.000338,0.016266,0.012942,-0.004363
0.776706,12.686000,0.000000,-0.000000,0.000000,0.000000,0.001679,0.001336,-0.000056,0.012200,0.009706,-0.003272
0.802447,12.694000,0.000000,-0.000000,0.000000,0.000000,0.001679,0.001336,-0.000056,0.012200,0.009706,-0.003272
0.828148,12.694000,0.000000,-0.000000,0.000000,0.000000,0.002096,0.001667,-0.000167,0.012200,0.009706,-0.003272
0.853842,12.686000,0.000000,-0.000000,0.000000,0.000000,0.002237,0.001780,0.000032,0.004067,0.003235,-0.001091
0.879604,12.686000,0.000000,-0.000000,0.000000,0.000000,0.002400,0.001909,0.000026,0.004067,0.003235,-0.001091
0.905462,12.686000,0.000000,-0.000000,0.000000,0.000000,0.002400,0.001909,0.000026,0.004067,0.003235,-0.001091
0.931254,12.677000,0.000000,-0.000000,0.000000,0.000000,0.002245,0.001786,0.000067,-0.004067,-0.003235,0.001091
0.957087,12.686000,0.000000,-0.000000,0.000000,0.000000,0.002113,0.001681,0.000105,-0.004067,-0.003235,0.001091
0.982943,12.694000,0.000000,-0.000000,0.000000,0.000000,0.002113,0.001681,0.000105,-0.004067,-0.003235,0.001091
1.008743,12.694000,0.000000,-0.000000,0.000000,0.000000,0.002268,0.001805,0.000063,0.004067,0.003235,-0.001091
1.034593,12.686000,-0.954071,-0.954071,-0.954071,-0.954071,0.002268,0.001805,0.000063,0.004067,0.003235,-0.001091
1.060290,9.937000,-0.954071,-0.954071,-0.954071,-0.954071,0.002071,0.001647,0.000122,-0.004067,-0.003235,0.001091
1.086130,9.937000,-0.954071,-0.954071,-0.954071,-0.954071,-0.022826,-0.000513,0.000153,-0.878252,-0.076084,0.001091
1.111869,9.412000,-0.954071,-0.954071,-0.954071,-0.954071,-0.354505,-0.005450,-0.002765,-9.088426,-0.132923,-0.082903
1.137727,10.273000,-1.000000,-1.000000,-1.000000,-1.000000,-0.814920,0.006837,-0.005767,-12.716293,0.304170,-0.082903
1.164065,10.273000,-1.000000,-1.000000,-1.000000,-1.000000,-0.814920,0.006837,-0.005767,-12.716293,0.304170,-0.082903
1.189785,9.666000,-1.000000,-1.000000,-1.000000,-1.000000,-0.814920,0.006837,-0.005767,-12.716293,0.304170,-0.082903
1.215430,9.666000,-1.000000,-1.000000,-1.000000,-1.000000,-2.449124,0.027829,-0.023684,-22.815389,0.200157,-0.273799
1.241141,10.308000,-1.000000,-1.000000,-1.000000,-1.000000,-2.449124,0.027829,-0.023684,-22.815389,0.200157,-0.273799
1.266826,10.308000,-1.000000,-1.000000,-1.000000,-1.000000,-3.438694,0.071592,-0.023391,-28.669063,0.829975,-0.235619
1.292561,10.391000,-1.000000,-1.000000,-1.000000,-1.000000,-5.161394,0.128114,-0.034332,-37.119517,0.349173,-0.235619
1.318252,10.391000,-1.000000,-1.000000,-1.000000,-1.000000,-5.161394,0.128114,-0.034332,-37.119517,0.349173,-0.235619
1.344239,10.623000,-1.000000,-1.000000,-1.000000,-1.000000,-7.118338,0.206193,-0.031474,-43.729204,0.487147,-0.061087
1.370085,10.977000,-1.000000,-1.000000,-1.000000,-1.000000,-7.118338,0.206193,-0.031474,-43.729204,0.487147,-0.061087
1.395950,10.977000,-1.000000,-1.000000,-1.000000,-1.000000,-9.058084,0.272319,-0.033985,-47.211374,0.122904,-0.061087
1.421730,11.029000,-1.000000,-1.000000,-1.000000,-1.000000,-10.951545,0.347098,-0.034474,-49.581503,0.351177,-0.054542
1.447535,11.261000,-1.000000,-1.000000,-1.000000,-1.000000,-10.951545,0.347098,-0.034474,-49.581503,0.351177,-0.054542
1.473447,11.261000,-1.000000,-1.000000,-1.000000,-1.000000,-12.775015,0.432454,-0.036380,-52.233198,0.642572,-0.054542
1.499283,11.287000,-1.000000,-1.000000,-1.000000,-1.000000,-15.336209,0.577362,-0.037492,-55.350451,1.173575,-0.046906
1.527162,11.287000,-1.000000,-1.000000,-1.000000,-1.000000,-15.336209,0.577362,-0.037492,-55.350451,1.173575,-0.046906
1.552993,11.497000,-1.000000,-1.000000,-1.000000,-1.000000,-17.910776,0.703615,-0.036972,-56.650580,0.658895,0.008727
1.578921,11.602000,-0.166088,-0.156249,-0.156249,-0.166088,-17.910776,0.703615,-0.036972,-56.650580,0.658895,0.008727
1.608985,11.602000,-0.166088,-0.156249,-0.156249,-0.166088,-17.910776,0.703615,-0.036972,-56.650580,0.658895,0.008727
1.634975,12.559000,-0.166088,-0.156249,-0.156249,-0.166088,-22.603387,0.922511,-0.036280,-59.273134,0.571477,0.008727
1.660678,12.559000,-0.166088,-0.156249,-0.156249,-0.166088,-23.805162,0.969757,-0.033417,-60.115487,0.306048,0.039270
1.686371,12.585000,0.000000,-0.000000,0.000000,0.000000,-26.068887,0.965868,-0.031939,-60.100918,-2.112530,0.039270
1.712002,12.611000,0.000000,-0.000000,0.000000,0.000000,-26.068887,0.965868,-0.031939,-60.100918,-2.112530,0.039270
1.737662,12.611000,0.000000,-0.000000,0.000000,0.000000,-26.068887,0.965868,-0.031939,-60.100918,-2.112530,0.039270
