time,battery_voltage,fl,fr,bl,br,x_position,y_position,angle,x_velocity,y_velocity,angular_velocity
0.002484,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.053127,12.240000,0.000000,-0.000000,0.000000,0.000000,0.000543,0.000492,-0.000004,0.007109,0.006449,0.002182
0.103968,12.240000,0.000000,-0.000000,0.000000,0.000000,0.001050,0.000952,-0.000007,0.007109,0.006449,0.002182
0.155786,12.240000,0.000000,-0.000000,0.000000,0.000000,0.001263,0.001146,0.000058,0.007109,0.006449,0.002182
0.212034,12.240000,0.000000,-0.000000,0.000000,0.000000,0.001728,0.001567,0.000060,0.007109,0.006449,0.002182
0.263226,12.240000,0.000000,-0.000000,0.000000,0.000000,0.002166,0.001965,0.000052,0.007109,0.006449,0.002182
0.314145,12.240000,0.000000,-0.000000,0.000000,0.000000,0.002421,0.002196,-0.000004,0.007109,0.006449,0.002182
0.365547,12.262000,0.000000,-0.000000,0.000000,0.000000,0.002917,0.002646,-0.000004,0.007109,0.006449,0.002182
0.418667,12.253000,0.000000,-0.000000,0.000000,0.000000,0.003138,0.002847,0.000064,0.007109,0.006449,0.002182
0.472842,12.262000,0.000000,-0.000000,0.000000,0.000000,0.003411,0.003094,0.000001,0.007109,0.006449,0.002182
0.524575,12.266000,0.000000,-0.000000,0.000000,0.000000,0.003938,0.003572,-0.000014,0.007109,0.006449,0.002182
0.575583,12.262000,0.000000,-0.000000,0.000000,0.000000,0.004400,0.003991,-0.000010,0.007109,0.006449,0.002182
0.626494,12.262000,0.000000,-0.000000,0.000000,0.000000,0.004644,0.004213,0.000065,0.007109,0.006449,0.002182
0.677308,12.262000,0.000000,-0.000000,0.000000,0.000000,0.005070,0.004599,0.000049,0.007109,0.006449,0.002182
0.729269,12.266000,0.000000,-0.000000,0.000000,0.000000,0.005500,0.004989,0.000050,0.007109,0.006449,0.002182
0.785549,12.266000,0.000000,-0.000000,0.000000,0.000000,0.005925,0.005374,0.000048,0.007109,0.006449,0.002182
