time,battery_voltage,fl,fr,bl,br,x_position,y_position,angle,x_velocity,y_velocity,angular_velocity
0.004183,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.054891,12.301000,0.000000,0.000000,0.000000,0.000000,0.000682,0.000619,0.000249,0.007109,0.006449,0.002182
0.105662,12.297000,0.000000,-0.000000,0.000000,0.000000,0.000938,0.000851,0.000192,0.007109,0.006449,0.002182
0.156557,12.292000,0.000000,-0.000000,0.000000,0.000000,0.001432,0.001300,0.000162,0.007109,0.006449,0.002182
0.207897,12.305000,0.000000,-0.000000,0.000000,0.000000,0.001668,0.001513,0.000234,0.007109,0.006449,0.002182
0.259011,12.301000,0.000000,-0.000000,0.000000,0.000000,0.002124,0.001927,0.000253,0.007109,0.006449,0.002182
0.309985,12.301000,0.000000,-0.000000,0.000000,0.000000,0.002546,0.002310,0.000242,0.007109,0.006449,0.002182
0.361017,12.301000,0.000000,-0.000000,0.000000,0.000000,0.002783,0.002525,0.000186,0.007109,0.006449,0.002182
0.411921,12.292000,0.000000,-0.000000,0.000000,0.000000,0.003259,0.002957,0.000194,0.007109,0.006449,0.002182
0.465099,12.301000,0.000000,-0.000000,0.000000,0.000000,0.003502,0.003178,0.000269,0.007109,0.006449,0.002182
0.515926,12.314000,0.000000,-0.000000,0.000000,0.000000,0.003958,0.003592,0.000253,0.007109,0.006449,0.002182
0.585075,12.323000,0.000000,-0.000000,0.000000,0.000000,0.004473,0.004059,0.000271,0.007109,0.006449,0.002182
0.636454,12.323000,0.000000,-0.000000,0.000000,0.000000,0.004716,0.004279,0.000187,0.007109,0.006449,0.002182
0.687778,12.319000,0.000000,-0.000000,0.000000,0.000000,0.004716,0.004279,0.000187,0.007109,0.006449,0.002182
0.738939,12.319000,0.000000,-0.000000,0.000000,0.000000,0.005442,0.004938,0.000336,0.007109,0.006449,0.002182
0.789960,12.323000,0.000000,-0.000000,0.000000,0.000000,0.005869,0.005326,0.000244,0.007109,0.006449,0.002182
0.841984,12.323000,0.000000,-0.000000,0.000000,0.000000,0.006329,0.005743,0.000254,0.007109,0.006449,0.002182
0.893284,12.323000,0.000000,-0.000000,0.000000,0.000000,0.006550,0.005943,0.000181,0.007109,0.006449,0.002182
0.953670,12.319000,0.000000,-0.000000,0.000000,0.000000,0.007038,0.006386,0.000191,0.007109,0.006449,0.002182
1.005184,12.292000,0.000000,-0.000000,0.000000,0.000000,0.007508,0.006813,0.000183,0.007109,0.006449,0.002182
1.057425,12.297000,0.000000,-0.000000,0.000000,0.000000,0.007738,0.007022,0.000254,0.007109,0.006449,0.002182
1.108279,12.301000,0.000000,-0.000000,0.000000,0.000000,0.008185,0.007427,0.000250,0.007109,0.006449,0.002182
1.162852,12.292000,0.000000,-0.000000,0.000000,0.000000,0.008415,0.007636,0.000183,0.007109,0.006449,0.002182
1.215383,12.301000,0.000000,-0.000000,0.000000,0.000000,0.008638,0.007838,0.000252,0.007109,0.006449,0.002182
1.273741,12.297000,0.000000,-0.000000,0.000000,0.000000,0.009407,0.008536,0.000183,0.007109,0.006449,0.002182
1.324838,12.301000,0.000000,-0.000000,0.000000,0.000000,0.009622,0.008731,0.000248,0.007109,0.006449,0.002182
1.375932,12.301000,0.000000,-0.000000,0.000000,0.000000,0.010094,0.009159,0.000258,0.007109,0.006449,0.002182
1.427414,12.297000,0.000000,-0.000000,0.000000,0.000000,0.010344,0.009386,0.000190,0.007109,0.006449,0.002182
1.478640,12.301000,0.000000,-0.000000,0.000000,0.000000,0.010825,0.009823,0.000182,0.007109,0.006449,0.002182
1.529911,12.301000,0.000000,-0.000000,0.000000,0.000000,0.011087,0.010060,0.000263,0.007109,0.006449,0.002182
1.581027,12.310000,0.000000,-0.000000,0.000000,0.000000,0.011532,0.010465,0.000250,0.007109,0.006449,0.002182
1.632580,12.323000,0.000000,-0.000000,0.000000,0.000000,0.011761,0.010672,0.000183,0.007109,0.006449,0.002182
1.684004,12.319000,0.000000,-0.000000,0.000000,0.000000,0.012291,0.011153,0.000195,0.007109,0.006449,0.002182
1.735067,12.323000,0.000000,-0.000000,0.000000,0.000000,0.012545,0.011383,0.000273,0.007109,0.006449,0.002182
1.789806,12.327000,0.000000,-0.000000,0.000000,0.000000,0.013083,0.011872,0.000133,0.007109,0.006449,0.002182
1.842583,12.319000,0.000000,-0.000000,0.000000,0.000000,0.013328,0.012094,0.000208,0.007109,0.006449,0.002182
1.894441,12.327000,0.000000,-0.000000,0.000000,0.000000,0.013806,0.012528,0.000260,0.007109,0.006449,0.002182
1.945720,12.314000,0.000000,-0.000000,0.000000,0.000000,0.014054,0.012752,0.000189,0.007109,0.006449,0.002182
1.996971,12.314000,0.000432,0.000432,0.000432,0.000432,0.014526,0.013181,0.000182,0.007109,0.006449,0.002182
2.063559,12.292000,0.000432,0.000432,0.000432,0.000432,0.014985,0.013598,0.000187,0.007109,0.006449,0.002182
2.114668,11.567000,0.406872,0.406872,0.406872,0.406872,0.015226,0.013816,0.000261,0.007109,0.006449,0.002182
2.165878,11.466000,0.406872,0.406872,0.406872,0.406872,0.110473,0.026994,0.000255,2.774147,0.378363,0.002182
2.217731,11.563000,0.610080,0.610080,0.610080,0.610080,0.437597,0.043279,-0.006763,6.939579,0.393239,0.002182
2.268740,11.099000,0.610080,0.610080,0.610080,0.610080,0.695224,0.047294,-0.006709,10.271926,0.229597,0.002182
2.332215,11.174000,1.000000,1.000000,1.000000,1.000000,1.304687,0.041981,-0.011062,14.868778,0.036202,0.002182
2.395251,9.937000,1.000000,1.000000,1.000000,1.000000,4.034178,0.017032,-0.021254,28.287422,0.437869,0.002182
2.446454,10.348000,1.000000,1.000000,1.000000,1.000000,5.181244,0.026869,-0.021180,34.119028,1.018054,0.002182
2.498126,10.575000,1.000000,1.000000,1.000000,1.000000,7.946281,-0.032997,-0.034492,41.750696,0.601511,0.002182
2.548905,10.715000,1.000000,1.000000,1.000000,1.000000,9.277543,-0.055607,-0.034428,45.395450,0.794906,0.002182
2.601117,10.968000,1.000000,1.000000,1.000000,1.000000,12.416932,-0.179549,-0.043632,50.884895,0.170091,0.002182
2.652523,12.087000,0.660342,0.660342,0.660342,0.660342,15.718728,-0.326054,-0.046291,54.455266,-0.291082,0.002182
2.703336,12.122000,0.660342,0.660342,0.660342,0.660342,17.527449,-0.430256,-0.047436,55.660266,-0.558860,0.002182
