time,battery_voltage,fl,fr,bl,br,x_position,y_position,angle,x_velocity,y_velocity,angular_velocity
0.004592,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.060215,12.074000,0.000000,-0.000000,0.000000,0.000000,0.000781,0.000708,0.000273,0.007109,0.006449,0.002182
0.111038,12.074000,0.000000,-0.000000,0.000000,0.000000,0.001125,0.001021,0.000207,0.007109,0.006449,0.002182
0.161737,12.074000,0.000000,-0.000000,0.000000,0.000000,0.001354,0.001228,0.000171,0.007109,0.006449,0.002182
0.212637,12.074000,0.000000,-0.000000,0.000000,0.000000,0.001808,0.001641,0.000170,0.007109,0.006449,0.002182
0.264351,12.078000,0.000000,-0.000000,0.000000,0.000000,0.002051,0.001861,0.000245,0.007109,0.006449,0.002182
0.324015,12.078000,0.000000,-0.000000,0.000000,0.000000,0.002525,0.002291,0.000244,0.007109,0.006449,0.002182
0.374984,12.078000,0.000000,-0.000000,0.000000,0.000000,0.002994,0.002717,0.000242,0.007109,0.006449,0.002182
0.425896,12.078000,0.000000,-0.000000,0.000000,0.000000,0.003226,0.002927,0.000255,0.007109,0.006449,0.002182
0.476874,12.100000,0.000000,-0.000000,0.000000,0.000000,0.003675,0.003335,0.000165,0.007109,0.006449,0.002182
0.527639,12.100000,0.000000,-0.000000,0.000000,0.000000,0.004109,0.003729,0.000250,0.007109,0.006449,0.002182
0.579487,12.104000,0.000000,-0.000000,0.000000,0.000000,0.004333,0.003931,0.000318,0.007109,0.006449,0.002182
0.630668,12.100000,0.000000,-0.000000,0.000000,0.000000,0.004768,0.004327,0.000317,0.007109,0.006449,0.002182
0.682271,12.100000,0.000000,-0.000000,0.000000,0.000000,0.005106,0.004634,0.000258,0.007109,0.006449,0.002182
0.733459,12.104000,0.000000,-0.000000,0.000000,0.000000,0.005558,0.005043,0.000247,0.007109,0.006449,0.002182
0.784581,12.104000,0.000000,-0.000000,0.000000,0.000000,0.005785,0.005250,0.000316,0.007109,0.006449,0.002182
0.835738,12.104000,0.000000,-0.000000,0.000000,0.000000,0.006234,0.005657,0.000321,0.007109,0.006449,0.002182
0.886804,12.104000,0.000000,-0.000000,0.000000,0.000000,0.006471,0.005872,0.000255,0.007109,0.006449,0.002182
0.937945,12.096000,0.000000,-0.000000,0.000000,0.000000,0.006968,0.006323,0.000265,0.007109,0.006449,0.002182
0.988895,12.078000,0.000000,-0.000000,0.000000,0.000000,0.007187,0.006522,0.000332,0.007109,0.006449,0.002182
1.039728,12.078000,0.000000,-0.000000,0.000000,0.000000,0.007620,0.006915,0.000316,0.007109,0.006449,0.002182
1.090521,12.083000,0.000000,-0.000000,0.000000,0.000000,0.008057,0.007311,0.000317,0.007109,0.006449,0.002182
1.143069,12.074000,0.000000,-0.000000,0.000000,0.000000,0.008057,0.007311,0.000317,0.007109,0.006449,0.002182
1.196503,12.074000,0.000000,-0.000000,0.000000,0.000000,0.008829,0.008012,0.000253,0.007109,0.006449,0.002182
1.247568,12.078000,0.000000,-0.000000,0.000000,0.000000,0.009049,0.008212,0.000320,0.007109,0.006449,0.002182
1.298135,12.078000,0.000000,-0.000000,0.000000,0.000000,0.009497,0.008618,0.000320,0.007109,0.006449,0.002182
1.348758,12.074000,0.000000,-0.000000,0.000000,0.000000,0.009940,0.009021,0.000319,0.007109,0.006449,0.002182
1.399450,12.069000,0.000000,-0.000000,0.000000,0.000000,0.010178,0.009236,0.000256,0.007109,0.006449,0.002182
1.450121,12.074000,0.000000,-0.000000,0.000000,0.000000,0.010609,0.009628,0.000252,0.007109,0.006449,0.002182
1.501884,12.083000,0.000000,-0.000000,0.000000,0.000000,0.010812,0.009812,0.000314,0.007109,0.006449,0.002182
1.552624,12.104000,0.000000,-0.000000,0.000000,0.000000,0.011293,0.010248,0.000330,0.007109,0.006449,0.002182
1.607071,12.104000,0.000000,-0.000000,0.000000,0.000000,0.011785,0.010694,0.000334,0.007109,0.006449,0.002182
1.658514,12.096000,0.085335,0.085335,0.085335,0.085335,0.011785,0.010694,0.000334,0.007109,0.006449,0.002182
1.709424,12.052000,0.085335,0.085335,0.085335,0.085335,0.012491,0.011336,0.000229,0.007109,0.006449,0.002182
1.762215,12.052000,0.699240,0.699240,0.699240,0.699240,0.012705,0.011529,0.000295,0.007109,0.006449,0.002182
1.813033,9.828000,0.699240,0.699240,0.699240,0.699240,0.050515,0.012979,0.000243,0.944331,0.006449,0.002182
1.864571,9.421000,1.000000,1.000000,1.000000,1.000000,0.258035,0.042647,-0.006727,6.195752,0.928795,0.002182
1.915520,8.997000,1.000000,1.000000,1.000000,1.000000,1.158407,0.071695,-0.030466,15.984519,0.794906,0.002182
1.979930,10.011000,0.773653,1.226347,0.773653,1.226347,2.949897,0.026590,-0.051615,26.829521,-0.038181,0.002182
2.030687,10.409000,0.773653,1.226347,0.773653,1.226347,4.963407,-0.099645,-0.076199,35.576930,0.006449,0.002182
2.090074,10.588000,0.061037,1.938963,0.061037,1.938963,6.147434,-0.197335,-0.076131,37.838165,-0.231576,0.002182
2.140881,11.248000,0.061037,1.938963,0.061037,1.938963,9.078397,-0.531081,-0.062555,41.720943,-3.177132,0.002182
2.192179,11.375000,0.000000,2.000000,0.000000,2.000000,10.468647,-0.735206,-0.015162,41.081252,-5.393737,0.002182
2.243228,11.501000,0.000000,2.000000,0.000000,2.000000,13.050445,-1.031823,0.067209,40.158906,-5.602009,0.002182
2.293965,11.698000,0.000000,2.000000,0.000000,2.000000,14.211383,-1.195974,0.067275,37.600140,-7.922750,0.002182
2.345141,11.646000,0.000000,2.000000,0.000000,2.000000,16.291953,-1.352989,0.215742,29.313904,-8.800466,0.002182
2.396256,11.567000,0.000000,2.000000,0.000000,2.000000,18.190753,-1.758774,0.407028,22.649212,-17.949542,0.002182
2.446995,11.576000,0.000000,2.000000,0.000000,2.000000,19.055274,-1.872318,0.649152,20.804520,-20.567814,0.002182
2.497724,11.514000,0.000000,2.000000,0.000000,2.000000,20.783513,-1.927746,0.860849,18.290384,-19.511579,0.002182
2.548604,11.475000,0.000000,2.000000,0.000000,2.000000,22.450784,-1.782699,1.072286,16.490322,-21.475283,0.002182
2.599334,11.471000,0.000000,2.000000,0.000000,2.000000,23.354090,-1.670430,1.072358,16.073778,-22.412505,0.002182
2.650142,11.462000,0.000000,2.000000,0.000000,2.000000,24.982395,-0.991434,1.316226,15.315075,-21.862073,0.002182
2.700879,11.410000,0.000000,2.000000,0.000000,2.000000,25.782429,-0.464239,1.522458,14.943161,-20.448801,0.002182
2.751834,11.475000,0.000000,2.000000,0.000000,2.000000,26.593851,0.076981,1.522537,16.029149,-21.683555,0.002182
2.808952,11.453000,0.000000,2.000000,0.000000,2.000000,27.777030,1.394633,1.761303,15.820877,-21.237258,0.002182
2.863601,11.440000,0.000000,2.000000,0.000000,2.000000,28.577803,2.906117,1.966202,14.898531,-20.240530,0.002182
2.917772,11.392000,0.000000,2.000000,0.000000,2.000000,28.783120,3.709559,2.195436,16.029149,-19.184295,0.002182
2.969542,11.379000,0.000000,2.000000,0.000000,2.000000,28.961990,5.301654,2.416891,16.073778,-18.827258,0.002182
3.020528,11.383000,0.000000,2.000000,0.000000,2.000000,28.670195,6.765120,2.637474,18.260631,-17.815653,0.002182
3.071384,11.418000,0.000000,2.000000,0.000000,2.000000,28.462588,7.538503,2.637544,17.293655,-17.964418,0.002182
