time,battery_voltage,fl,fr,bl,br,x_position,y_position,angle,x_velocity,y_velocity,angular_velocity
0.002688,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.055807,12.104000,0.000000,0.000000,0.000000,0.000000,0.000652,0.000592,0.000121,0.007109,0.006449,0.002182
0.106793,12.104000,0.000000,-0.000000,0.000000,0.000000,0.000893,0.000810,0.000066,0.007109,0.006449,0.002182
0.159256,12.104000,0.000000,-0.000000,0.000000,0.000000,0.001363,0.001236,0.000029,0.007109,0.006449,0.002182
0.218463,12.109000,0.000000,-0.000000,0.000000,0.000000,0.001588,0.001440,0.000098,0.007109,0.006449,0.002182
0.269572,12.131000,0.000000,-0.000000,0.000000,0.000000,0.002103,0.001908,0.000151,0.007109,0.006449,0.002182
0.350729,12.135000,0.000000,-0.000000,0.000000,0.000000,0.002580,0.002340,0.000139,0.007109,0.006449,0.002182
0.401972,12.131000,0.000000,-0.000000,0.000000,0.000000,0.002878,0.002611,0.000084,0.007109,0.006449,0.002182
0.453066,12.131000,0.000000,-0.000000,0.000000,0.000000,0.003387,0.003073,0.000071,0.007109,0.006449,0.002182
0.504087,12.126000,0.000000,-0.000000,0.000000,0.000000,0.003639,0.003302,0.000148,0.007109,0.006449,0.002182
0.554859,12.135000,0.000000,-0.000000,0.000000,0.000000,0.004101,0.003720,0.000134,0.007109,0.006449,0.002182
0.605747,12.135000,0.000000,-0.000000,0.000000,0.000000,0.004564,0.004140,0.000135,0.007109,0.006449,0.002182
0.656650,12.122000,0.000000,-0.000000,0.000000,0.000000,0.004778,0.004335,0.000059,0.007109,0.006449,0.002182
0.707925,12.126000,0.000000,-0.000000,0.000000,0.000000,0.004997,0.004533,0.000126,0.007109,0.006449,0.002182
0.759145,12.131000,0.000000,-0.000000,0.000000,0.000000,0.005494,0.004985,0.000145,0.007109,0.006449,0.002182
0.811547,12.109000,0.000000,-0.000000,0.000000,0.000000,0.005923,0.005374,0.000124,0.007109,0.006449,0.002182
0.862451,12.109000,0.000000,-0.000000,0.000000,0.000000,0.006338,0.005750,0.000120,0.007109,0.006449,0.002182
0.913576,12.109000,0.000000,-0.000000,0.000000,0.000000,0.006561,0.005952,0.000061,0.007109,0.006449,0.002182
0.964606,12.104000,0.000000,-0.000000,0.000000,0.000000,0.007031,0.006379,0.000064,0.007109,0.006449,0.002182
1.016718,12.096000,0.000000,-0.000000,0.000000,0.000000,0.007249,0.006576,0.000130,0.007109,0.006449,0.002182
1.067433,12.109000,0.000000,-0.000000,0.000000,0.000000,0.007737,0.007513,0.000143,0.007109,0.021325,0.002182
1.121117,12.109000,0.000000,-0.000000,0.000000,0.000000,0.008188,0.008329,0.000131,0.007109,0.006449,0.002182
1.172099,12.109000,0.000000,-0.000000,0.000000,0.000000,0.008424,0.008542,0.000065,0.007109,0.006449,0.002182
1.223275,12.109000,0.000000,-0.000000,0.000000,0.000000,0.008905,0.008979,0.000068,0.007109,0.006449,0.002182
1.280662,12.109000,0.000000,-0.000000,0.000000,0.000000,0.009255,0.009297,0.000175,0.007109,0.006449,0.002182
1.331818,12.131000,0.000000,-0.000000,0.000000,0.000000,0.009657,0.009661,0.000116,0.007109,0.006449,0.002182
1.383900,12.131000,0.000000,-0.000000,0.000000,0.000000,0.009877,0.009861,0.000060,0.007109,0.006449,0.002182
1.435150,12.135000,0.000000,-0.000000,0.000000,0.000000,0.010372,0.010310,0.000064,0.007109,0.006449,0.002182
