time,battery_voltage,fl,fr,bl,br,x_position,y_position,angle,x_velocity,y_velocity,angular_velocity
0.007957,0.000000,0.000000,0.000000,0.000000,0.000000,0.000260,0.000236,0.000151,0.007109,0.006449,0.002182
0.072965,12.292000,0.000000,0.000000,0.000000,0.000000,0.000732,0.000664,0.000295,0.007109,0.006449,0.002182
0.124679,12.288000,0.000000,-0.000000,0.000000,0.000000,0.001124,0.001020,0.000191,0.007109,0.006449,0.002182
0.176747,12.292000,0.000000,-0.000000,0.000000,0.000000,0.001473,0.001337,0.000178,0.007109,0.006449,0.002182
0.227758,12.288000,0.000000,-0.000000,0.000000,0.000000,0.001694,0.001537,0.000246,0.007109,0.006449,0.002182
0.278680,12.292000,0.000000,-0.000000,0.000000,0.000000,0.002128,0.001930,0.000204,0.007109,0.006449,0.002182
0.332480,12.288000,0.000000,-0.000000,0.000000,0.000000,0.002607,0.002365,0.000218,0.007109,0.006449,0.002182
0.383296,12.262000,0.000000,-0.000000,0.000000,0.000000,0.002890,0.002623,0.000158,0.007109,0.006449,0.002182
0.443678,12.266000,0.000000,-0.000000,0.000000,0.000000,0.003368,0.003056,0.000140,0.007109,0.006449,0.002182
0.494428,12.270000,0.000000,-0.000000,0.000000,0.000000,0.003588,0.003256,0.000208,0.007109,0.006449,0.002182
0.545658,12.266000,0.000000,-0.000000,0.000000,0.000000,0.004042,0.003667,0.000210,0.007109,0.006449,0.002182
0.597170,12.270000,0.000000,-0.000000,0.000000,0.000000,0.004486,0.004070,0.000207,0.007109,0.006449,0.002182
0.648817,12.262000,0.000000,-0.000000,0.000000,0.000000,0.004486,0.004070,0.000207,0.007109,0.006449,0.002182
0.700066,12.266000,0.000000,-0.000000,0.000000,0.000000,0.005200,0.004718,0.000143,0.007109,0.006449,0.002182
0.751344,12.262000,0.000000,-0.000000,0.000000,0.000000,0.005425,0.004922,0.000212,0.007109,0.006449,0.002182
0.813056,12.270000,0.000000,-0.000000,0.000000,0.000000,0.005908,0.005361,0.000219,0.007109,0.006449,0.002182
0.883142,12.292000,0.000000,-0.000000,0.000000,0.000000,0.006474,0.005874,0.000151,0.007109,0.006449,0.002182
0.949418,12.292000,0.000000,-0.000000,0.000000,0.000000,0.006730,0.006107,0.000230,0.007109,0.006449,0.002182
1.000333,12.292000,0.000000,-0.000000,0.000000,0.000000,0.007263,0.006590,0.000234,0.007109,0.006449,0.002182
1.051199,12.288000,0.000000,-0.000000,0.000000,0.000000,0.007720,0.007004,0.000211,0.007109,0.006449,0.002182
1.102588,12.288000,0.000000,-0.000000,0.000000,0.000000,0.007953,0.007216,0.000142,0.007109,0.006449,0.002182
1.153383,12.288000,0.000000,-0.000000,0.000000,0.000000,0.008410,0.007631,0.000140,0.007109,0.006449,0.002182
1.204588,12.288000,0.000000,-0.000000,0.000000,0.000000,0.008410,0.007631,0.000140,0.007109,0.006449,0.002182
1.255599,12.292000,0.000000,-0.000000,0.000000,0.000000,0.009125,0.008279,0.000290,0.007109,0.006449,0.002182
1.306418,12.288000,0.000000,-0.000000,0.000000,0.000000,0.009351,0.008485,0.000140,0.007109,0.006449,0.002182
1.357202,12.288000,0.000000,-0.000000,0.000000,0.000000,0.009789,0.008882,0.000139,0.007109,0.006449,0.002182
1.414497,12.266000,0.000000,-0.000000,0.000000,0.000000,0.010292,0.009338,0.000155,0.007109,0.006449,0.002182
1.471724,12.266000,0.000000,-0.000000,0.000000,0.000000,0.010498,0.009525,0.000218,0.007109,0.006449,0.002182
1.523048,12.266000,0.000000,-0.000000,0.000000,0.000000,0.011006,0.009986,0.000227,0.007109,0.006449,0.002182
1.579469,12.270000,0.000000,-0.000000,0.000000,0.000000,0.011236,0.010195,0.000142,0.007109,0.006449,0.002182
1.630496,12.266000,0.000000,-0.000000,0.000000,0.000000,0.011709,0.010624,0.000141,0.007109,0.006449,0.002182
1.684427,12.266000,0.000000,-0.000000,0.000000,0.000000,0.012151,0.011025,0.000135,0.007109,0.006449,0.002182
1.735322,12.266000,0.000000,-0.000000,0.000000,0.000000,0.012366,0.011221,0.000201,0.007109,0.006449,0.002182
