time,battery_voltage,fl,fr,bl,br,x_position,y_position,angle,x_velocity,y_velocity,angular_velocity
0.002954,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.053487,12.056000,0.000000,0.000000,0.000000,0.000000,0.000671,0.000608,0.000069,0.007109,0.006449,0.002182
0.104696,12.056000,0.000000,-0.000000,0.000000,0.000000,0.000671,0.000608,0.000069,0.007109,0.006449,0.002182
0.157380,12.056000,0.000000,-0.000000,0.000000,0.000000,0.001387,0.001258,0.000001,0.007109,0.006449,0.002182
0.208612,12.056000,0.000000,-0.000000,0.000000,0.000000,0.001603,0.001454,0.000068,0.007109,0.006449,0.002182
0.269170,12.030000,0.000000,-0.000000,0.000000,0.000000,0.002075,0.001883,0.000079,0.007109,0.006449,0.002182
0.326615,12.034000,0.000000,-0.000000,0.000000,0.000000,0.002584,0.002344,0.000090,0.007109,0.006449,0.002182
0.382180,12.034000,0.000000,-0.000000,0.000000,0.000000,0.002835,0.002572,0.000011,0.007109,0.006449,0.002182
0.433334,12.034000,0.000000,-0.000000,0.000000,0.000000,0.003329,0.003020,0.000005,0.007109,0.006449,0.002182
0.486064,12.034000,0.000000,-0.000000,0.000000,0.000000,0.003570,0.003238,0.000079,0.007109,0.006449,0.002182
0.537093,12.039000,0.000000,-0.000000,0.000000,0.000000,0.004057,0.003680,0.000083,0.007109,0.006449,0.002182
0.594386,12.034000,0.000000,-0.000000,0.000000,0.000000,0.004280,0.003882,0.000002,0.007109,0.006449,0.002182
0.646274,12.030000,0.000000,-0.000000,0.000000,0.000000,0.004504,0.004085,0.000071,0.007109,0.006449,0.002182
0.697240,12.034000,0.000000,-0.000000,0.000000,0.000000,0.005231,0.004745,0.000004,0.007109,0.006449,0.002182
0.748193,12.034000,0.000000,-0.000000,0.000000,0.000000,0.005447,0.004940,0.000071,0.007109,0.006449,0.002182
0.799237,12.034000,0.000000,-0.000000,0.000000,0.000000,0.005933,0.005382,0.000083,0.007109,0.006449,0.002182
0.861923,12.061000,0.000000,-0.000000,0.000000,0.000000,0.006388,0.005794,0.000073,0.007109,0.006449,0.002182
0.912951,12.061000,0.000000,-0.000000,0.000000,0.000000,0.006631,0.006014,0.000008,0.007109,0.006449,0.002182
0.967187,12.061000,0.000000,-0.000000,0.000000,0.000000,0.007098,0.006439,0.000010,0.007109,0.006449,0.002182
1.018451,12.061000,0.000000,-0.000000,0.000000,0.000000,0.007339,0.006657,0.000084,0.007109,0.006449,0.002182
1.072193,12.065000,0.000000,-0.000000,0.000000,0.000000,0.007815,0.007088,0.000080,0.007109,0.006449,0.002182
1.126380,12.056000,0.000000,-0.000000,0.000000,0.000000,0.008283,0.007514,0.000078,0.007109,0.006449,0.002182
1.177037,12.052000,0.000000,-0.000000,0.000000,0.000000,0.008283,0.007514,0.000078,0.007109,0.006449,0.002182
1.229936,12.065000,0.000000,-0.000000,0.000000,0.000000,0.008993,0.008157,0.000004,0.007109,0.006449,0.002182
1.280725,12.061000,0.000000,-0.000000,0.000000,0.000000,0.009196,0.008342,0.000067,0.007109,0.006449,0.002182
1.334451,12.048000,0.000000,-0.000000,0.000000,0.000000,0.009659,0.008762,0.000076,0.007109,0.006449,0.002182
1.385770,12.030000,-0.073748,0.073748,0.042108,-0.042108,0.009912,0.008991,0.000012,0.007109,0.006449,0.002182
1.436814,11.995000,-0.073748,0.073748,0.042108,-0.042108,0.010399,0.009433,0.000002,0.007109,0.006449,0.002182
1.487907,11.982000,-0.205118,0.205118,0.158404,-0.158404,0.010619,0.009632,0.000070,0.007109,0.006449,0.002182
1.539001,11.820000,-0.205118,0.205118,0.158404,-0.158404,0.011076,0.010048,0.001177,0.007109,0.006449,0.002182
1.602044,11.737000,-0.434678,0.434678,0.318822,-0.318822,0.011517,0.024958,0.000932,0.007109,0.467622,0.002182
